name,price,Class,Socket,Clockspeed,Turbo Speed,Threads,Cores,Typical TDP,mt_score,st_score
AMD Ryzen Threadripper PRO 3995WX,NA,Desktop,sTRX4 ,2.7,4.2,128 ,64,280W,88731,2665
AMD Ryzen Threadripper 3990X,"$4,999.99",Desktop,sTRX4 ,2.9,4.3,128 ,64,280W,80558,2556
AMD EPYC 7702,"$4,955.00",Server,SP3 ,2.0,3.4,128 ,64,200W,71859,2096
AMD EPYC 7702P,"$4,749.95",Server,SP3 ,2.0,3.4,128 ,64,200W,68213,2210
AMD EPYC 7742,"$6,790.00",Server,SP3 ,2.3,3.4,128 ,64,225W,67185,2376
AMD Ryzen Threadripper 3970X,"$2,061.83",Desktop,sTRX4 ,3.7,4.5,64 ,32,280W,64253,2713
AMD Ryzen Threadripper PRO 3975WX,NA,Desktop,sTRX4 ,3.5,4.2,64 ,32,280W,63616,2668
AMD Ryzen Threadripper 3960X,"$1,349.99",Desktop,sTRX4 ,3.8,4.5,48 ,24,280W,55459,2703
AMD EPYC 7502,"$2,285.00",Server,SP3 ,2.5,3.4,64 ,32,180W,53591,2116
AMD Ryzen 9 5950X,"$1,679.99",Desktop,AM4 ,3.4,4.9,32 ,16,105W,46244,3529
AMD EPYC 7502P,"$2,697.18",Server,SP3 ,2.5,3.4,64 ,32,180W,46180,1777
AMD EPYC 7452,"$2,288.99",Server,SP3 ,2.4,3.4,64 ,32,155W,45056,2177
AMD Ryzen Threadripper PRO 3955WX,NA,Desktop,sTRX4 ,3.9,4.3,32 ,16,280W,41513,2749
AMD Ryzen 9 5900X,"$1,099.99",Desktop,AM4 ,3.7,4.8,24 ,12,105W,39509,3523
Intel Xeon W-3275M @ 2.50GHz,"$7,453.00*",Server,FCLGA3647 ,2.5,4.4,56 ,28,205W,39478,2695
AMD Ryzen 9 3950X,$721.99,Desktop,AM4 ,3.5,4.7,32 ,16,105W,39251,2745
AMD EPYC 7402P,"$1,435.99",Server,SP3 ,2.8,3.4,48 ,24,180W,39118,1742
Intel Xeon Gold 6248R @ 3.00GHz,"$2,826.31",Server,FCLGA3647 ,3.0,4.0,48 ,24,205W,38521,2270
Intel Xeon Platinum 8280 @ 2.70GHz,"$9,949.00*",Server,FCLGA3647 ,2.7,4.0,56 ,28,205W,37575,2011
Intel Xeon Gold 6242R @ 3.10GHz,"$2,641.87",Server,FCLGA3647 ,3.1,4.1,40 ,20,205W,34987,2444
AMD Ryzen Threadripper PRO 3945WX,NA,Desktop,sTRX4 ,4.0,4.3,24 ,12,280W,34740,2726
