name,price,Class,Socket,Clockspeed,Turbo Speed,Threads,Cores,Typical TDP,mt_score,st_score,brand
Ryzen Threadripper PRO 3995WX,,Desktop,sTRX4 ,2.7,4.2,128,64,280,88673,2676,Amd
Ryzen Threadripper 3990X,3849.99,Desktop,sTRX4 ,2.9,4.3,128,64,280,80508,2545,Amd
EPYC 7702,6229.0,Server,SP3 ,2.0,3.4,128,64,200,71859,2096,Amd
EPYC 7702P,4088.0,Server,SP3 ,2.0,3.4,128,64,200,68213,2210,Amd
EPYC 7742,7549.35,Server,SP3 ,2.3,3.4,128,64,225,67185,2376,Amd
Ryzen Threadripper PRO 3975WX,,Desktop,sTRX4 ,3.5,4.2,64,32,280,65123,2606,Amd
Ryzen Threadripper 3970X,1999.0,Desktop,sTRX4 ,3.7,4.5,64,32,280,64258,2712,Amd
Ryzen Threadripper 3960X,1349.99,Desktop,sTRX4 ,3.8,4.5,48,24,280,55466,2703,Amd
Ryzen 9 5950X,799.0,Desktop,AM4 ,3.4,4.9,32,16,105,46567,3578,Amd
EPYC 7502P,2757.96,Server,SP3 ,2.5,3.4,64,32,180,46180,1777,Amd
EPYC 7452,2437.18,Server,SP3 ,2.4,3.4,64,32,155,45056,2177,Amd
Ryzen Threadripper PRO 3955WX,,Desktop,sTRX4 ,3.9,4.3,32,16,280,42152,2768,Amd
Ryzen 9 5900X,549.99,Desktop,AM4 ,3.7,4.8,24,12,105,39832,3575,Amd
Ryzen 9 3950X,709.99,Desktop,AM4 ,3.5,4.7,32,16,105,39256,2745,Amd
EPYC 7402P,1359.8,Server,SP3 ,2.8,3.4,48,24,180,39118,1742,Amd
Xeon Gold 6248R ,2836.55,Server,FCLGA3647 ,3.0,4.0,48,24,205,38521,2270,Intel
Xeon Platinum 8280 ,9949.0,Server,FCLGA3647 ,2.7,4.0,56,28,205,37575,2011,Intel
Xeon W-3275M ,7453.0,Server,FCLGA3647 ,2.5,4.4,56,28,205,37104,2561,Intel
Xeon Gold 6242R ,2753.03,Server,FCLGA3647 ,3.1,4.1,40,20,205,34987,2444,Intel
Ryzen Threadripper PRO 3945WX,,Desktop,sTRX4 ,4.0,4.3,24,12,280,34884,2718,Amd
Core i9-10980XE ,817.5,Desktop,FCLGA2066 ,3.0,4.8,36,18,165,34297,2642,Intel
Xeon Platinum 8168 ,5890.0,Server,FCLGA3647 ,2.7,3.7,48,24,205,33398,2167,Intel
Ryzen 9 3900XT,454.99,Desktop,AM4 ,3.8,4.7,24,12,105,33215,2802,Amd
