name,price,Socket,Clockspeed,Turbo Speed,Threads,Cores,Typical TDP,mt_score,st_score,class_Desktop,class_Laptop,class_Server,brand_Amd,brand_Intel
Ryzen Threadripper PRO 3995WX,,sTRX4 ,2.7,4.2,128,64,280,88731,2665,1,0,0,1,0
Ryzen Threadripper 3990X,4999.99,sTRX4 ,2.9,4.3,128,64,280,80558,2556,1,0,0,1,0
EPYC 7702,4955.0,SP3 ,2.0,3.4,128,64,200,71859,2096,0,0,1,1,0
EPYC 7702P,4749.95,SP3 ,2.0,3.4,128,64,200,68213,2210,0,0,1,1,0
EPYC 7742,6790.0,SP3 ,2.3,3.4,128,64,225,67185,2376,0,0,1,1,0
Ryzen Threadripper 3970X,2061.83,sTRX4 ,3.7,4.5,64,32,280,64253,2713,1,0,0,1,0
Ryzen Threadripper PRO 3975WX,,sTRX4 ,3.5,4.2,64,32,280,63616,2668,1,0,0,1,0
Ryzen Threadripper 3960X,1349.99,sTRX4 ,3.8,4.5,48,24,280,55459,2703,1,0,0,1,0
EPYC 7502,2285.0,SP3 ,2.5,3.4,64,32,180,53591,2116,0,0,1,1,0
Ryzen 9 5950X,1679.99,AM4 ,3.4,4.9,32,16,105,46244,3529,1,0,0,1,0
EPYC 7502P,2697.18,SP3 ,2.5,3.4,64,32,180,46180,1777,0,0,1,1,0
EPYC 7452,2288.99,SP3 ,2.4,3.4,64,32,155,45056,2177,0,0,1,1,0
Ryzen Threadripper PRO 3955WX,,sTRX4 ,3.9,4.3,32,16,280,41513,2749,1,0,0,1,0
Ryzen 9 5900X,1099.99,AM4 ,3.7,4.8,24,12,105,39509,3523,1,0,0,1,0
Xeon W-3275M ,7453.0,FCLGA3647 ,2.5,4.4,56,28,205,39478,2695,0,0,1,0,1
Ryzen 9 3950X,721.99,AM4 ,3.5,4.7,32,16,105,39251,2745,1,0,0,1,0
EPYC 7402P,1435.99,SP3 ,2.8,3.4,48,24,180,39118,1742,0,0,1,1,0
Xeon Gold 6248R ,2826.31,FCLGA3647 ,3.0,4.0,48,24,205,38521,2270,0,0,1,0,1
Xeon Platinum 8280 ,9949.0,FCLGA3647 ,2.7,4.0,56,28,205,37575,2011,0,0,1,0,1
Xeon Gold 6242R ,2641.87,FCLGA3647 ,3.1,4.1,40,20,205,34987,2444,0,0,1,0,1
Ryzen Threadripper PRO 3945WX,,sTRX4 ,4.0,4.3,24,12,280,34740,2726,1,0,0,1,0
Core i9-10980XE ,999.99,FCLGA2066 ,3.0,4.8,36,18,165,34408,2644,1,0,0,0,1
EPYC 7302,1192.92,SP3 ,3.0,3.3,32,16,155,34259,2080,0,0,1,1,0
Ryzen 9 3900XT,629.25,AM4 ,3.8,4.7,24,12,105,33003,2801,1,0,0,1,0
Xeon Platinum 8168 ,5890.0,FCLGA3647 ,2.7,3.7,48,24,205,32934,2180,0,0,1,0,1
Ryzen 9 3900X,605.67,AM4 ,3.8,4.6,24,12,105,32863,2731,1,0,0,1,0
EPYC 7302P,939.99,SP3 ,3.0,3.3,32,16,155,32818,1833,0,0,1,1,0
Xeon W-2295 ,1333.0,FCLGA2066 ,3.0,4.8,36,18,165,32060,2754,0,0,1,0,1
Core i9-9980XE ,1054.0,FCLGA2066 ,3.0,4.5,36,18,165,32010,2577,1,0,0,0,1
Core i9-9990XE ,,LGA2066 ,4.0,5.0,28,14,255,31941,3104,1,0,0,0,1
Xeon W-3175X ,3053.84,FCLGA3647 ,3.1,3.8,56,28,255,31814,2126,1,0,0,0,1
Ryzen 9 PRO 3900,,AM4 ,3.1,4.3,24,12,65,31800,2637,1,0,0,1,0
Ryzen Threadripper 2990WX,1999.95,sTR4 ,3.0,4.2,64,32,250,31410,2329,1,0,0,1,0
Xeon Gold 6248 ,3324.99,FCLGA3647 ,2.5,3.9,40,20,150,31285,2326,0,0,1,0,1
Core i9-9960X ,885.99,FCLGA2066 ,3.1,4.4,32,16,165,31278,2685,1,0,0,0,1
Ryzen 9 3900,,AM4 ,3.1,4.3,24,12,65,30896,2649,1,0,0,1,0
Xeon Gold 6246R ,3572.42,FCLGA3647 ,3.4,4.1,32,16,205,30485,2389,0,0,1,0,1
Xeon W-3245 ,2412.15,FCLGA3647 ,3.2,4.4,32,16,205,30300,2541,0,0,1,0,1
Xeon Platinum 8259CL ,,LGA 3647 ,2.5,3.5,48,24,210,30250,1859,0,0,1,0,1
Ryzen Threadripper 2950X,589.99,sTR4 ,3.5,4.4,32,16,180,30179,2477,1,0,0,1,0
Xeon W-3265 ,4551.37,FCLGA3647 ,2.7,4.4,48,24,205,30105,2572,0,0,1,0,1
Xeon Platinum 8268 ,6005.98,FCLGA3647 ,2.9,3.9,48,24,205,30103,2167,0,0,1,0,1
Core i9-7980XE ,2345.33,FCLGA2066 ,2.6,4.2,36,18,165,29848,2498,1,0,0,0,1
Core i9-10940X ,799.0,FCLGA2066 ,3.3,4.8,28,14,165,29750,2732,1,0,0,0,1
Xeon Gold 6254 ,3619.95,FCLGA3647 ,3.1,4.0,36,18,200,29356,2381,0,0,1,0,1
Ryzen 7 5800X,449.99,AM4 ,3.8,4.7,16,8,105,28751,3508,1,0,0,1,0
EPYC 7371,1808.99,SP3 ,3.1,3.8,32,16,nan,28356,2419,0,0,1,1,0
Core i9-9940X ,759.96,FCLGA2066 ,3.3,4.5,28,14,165,28239,2628,1,0,0,0,1
Ryzen Threadripper 2970WX,1156.4,sTR4 ,3.0,4.2,48,24,250,28071,2292,1,0,0,1,0
Xeon Gold 6238 ,2612.0,FCLGA3647 ,2.1,3.7,44,22,140,27617,1691,0,0,1,0,1
Xeon Gold 6212U ,2000.0,FCLGA3647 ,2.4,3.9,48,24,165,27470,2013,0,0,1,0,1
EPYC 7571,,SP3 ,2.1,2.9,64,32,120,27445,1934,0,0,1,1,0
Xeon Platinum 8173M ,,FCLGA3647 ,2.0,3.5,56,28,165,27377,2123,0,0,1,0,1
Xeon Gold 6210U ,2059.86,FCLGA3647 ,2.5,3.9,40,20,150,27131,2295,0,0,1,0,1
Core i9-7960X ,1600.0,FCLGA2066 ,2.8,4.2,32,16,165,26959,2580,1,0,0,0,1
Core i9-7940X ,1489.95,FCLGA2066 ,3.1,4.3,28,14,165,26819,2521,1,0,0,0,1
Xeon Gold 6208U ,989.0,FCLGA3647 ,2.9,3.9,32,16,150,26677,2325,0,0,1,0,1
Xeon Platinum 8175M ,,FCLGA3647 ,2.5,2.5,48,24,nan,26659,1903,0,0,1,0,1
Ryzen Threadripper 1950X,1115.0,sTR4 ,3.4,4.0,32,16,180,26543,2280,1,0,0,1,0
Xeon Platinum 8160 ,4489.0,FCLGA3647 ,2.1,3.7,48,24,150,26485,1984,0,0,1,0,1
EPYC 7272,740.25,SP3 ,2.9,3.2,24,12,120,26454,2019,0,0,1,1,0
EPYC 7401P,844.39,SP3 ,2.0,3.0,48,24,155,26392,1795,0,0,1,1,0
Xeon Gold 6154 ,3659.82,FCLGA3647 ,3.0,3.7,36,18,200,26298,2249,0,0,1,0,1
Core i9-10920X ,642.0,FCLGA2066 ,3.5,4.8,24,12,165,26292,2744,1,0,0,0,1
Xeon W-2265 ,944.0,FCLGA2066 ,3.5,4.6,24,12,165,26085,2862,0,0,1,0,1
EPYC 7551P,1190.88,SP3 ,2.0,3.0,64,32,180,25933,1611,0,0,1,1,0
Xeon Gold 5220 ,1639.93,FCLGA3647 ,2.2,3.9,36,18,125,25740,2396,0,0,1,0,1
Ryzen Threadripper 2920X,1499.99,sTR4 ,3.5,4.3,24,12,180,25503,2501,1,0,0,1,0
Xeon Platinum 8124M ,,FCLGA3647 ,3.0,3.5,36,18,nan,25456,2084,0,0,1,0,1
Core i9-9920X ,650.0,FCLGA2066 ,3.5,4.5,24,12,165,25352,2655,1,0,0,0,1
EPYC 7501,3049.0,SP3 ,2.0,3.0,64,32,155,24925,1925,0,0,1,1,0
Xeon Gold 6138T ,2742.0,FCLGA3647 ,2.0,3.7,40,20,125,24800,2050,0,0,1,0,1
Xeon Gold 6143 ,,FCLGA3647 ,2.8,4.0,32,16,205,24786,2248,0,0,1,0,1
Xeon W-3235 ,1463.45,FCLGA3647 ,3.3,4.5,24,12,180,24592,2518,0,0,1,0,1
Xeon E5-2699 v4 ,1598.95,FCLGA2011-3 ,2.2,3.6,44,22,145,24472,1936,0,0,1,0,1
Xeon Gold 6246 ,3315.49,FCLGA3647 ,3.3,4.2,24,12,165,24446,2450,0,0,1,0,1
EPYC 7551,1674.35,SP3 ,2.0,3.0,64,32,180,24320,1842,0,0,1,1,0
Xeon Gold 6226R ,1495.46,FCLGA3647 ,2.9,3.9,32,16,150,24258,2179,0,0,1,0,1
Core i9-10900K ,577.5,FCLGA1200 ,3.7,5.3,20,10,125,24193,3176,1,0,0,0,1
Xeon Gold 6148 ,3217.99,FCLGA3647 ,2.4,3.7,40,20,150,24133,2056,0,0,1,0,1
Xeon Gold 6138 ,2679.99,FCLGA3647 ,2.0,3.7,40,20,125,24115,2224,0,0,1,0,1
Xeon W-1290P ,539.0,FCLGA1200 ,3.7,5.3,20,10,125,24086,3305,0,0,1,0,1
Xeon Gold 6242 ,2489.95,FCLGA3647 ,2.8,3.9,32,16,150,24046,2081,0,0,1,0,1
Ryzen 7 3800XT,388.0,AM4 ,3.9,4.7,16,8,105,23940,2861,1,0,0,1,0
Xeon E5-2679 v4 ,2702.0,FCLGA2011-3 ,2.5,3.3,40,20,200,23908,2055,0,0,1,0,1
Core i9-10900KF ,529.99,FCLGA1200 ,3.7,5.3,20,10,125,23836,3150,1,0,0,0,1
Core i9-7920X ,478.5,FCLGA2066 ,2.9,4.4,24,12,140,23589,2504,1,0,0,0,1
EPYC 7351,1015.0,SP3 ,2.4,2.9,32,16,155,23566,1821,0,0,1,1,0
Xeon W-2195 ,2790.13,FCLGA2066 ,2.3,4.3,36,18,140,23487,2360,0,0,1,0,1
Xeon W-2175 ,2098.36,FCLGA2066 ,2.5,4.3,28,14,140,23442,2483,0,0,1,0,1
Ryzen 7 3800X,407.9,AM4 ,3.9,4.5,16,8,105,23373,2746,1,0,0,1,0
Core i9-10850K ,429.89,FCLGA1200 ,3.6,5.1,20,10,125,23338,3101,1,0,0,0,1
Xeon Gold 6230 ,2011.12,FCLGA3647 ,2.1,3.9,40,20,125,23330,2185,0,0,1,0,1
Xeon W-2170B ,,FCLGA-2066 ,2.5,4.3,28,14,nan,23300,2559,0,0,1,0,1
Ryzen Threadripper 1920X,989.0,sTR4 ,3.5,4.0,24,12,180,23183,2307,1,0,0,1,0
Xeon Platinum 8176 ,8725.0,FCLGA3647 ,2.1,3.8,56,28,165,23179,2048,0,0,1,0,1
Xeon Gold 6146 ,4608.95,FCLGA3647 ,3.2,4.2,24,12,165,23014,2510,0,0,1,0,1
Ryzen 7 3700X,329.0,AM4 ,3.6,4.4,16,8,65,22821,2690,1,0,0,1,0
Xeon Gold 6140 ,2863.75,FCLGA3647 ,2.3,3.7,36,18,140,22733,1840,0,0,1,0,1
Core i9-10900X ,559.99,FCLGA2066 ,3.7,4.7,20,10,165,22684,2730,1,0,0,0,1
EPYC 7F32,,SP3 ,3.7,3.9,16,8,180,22303,2447,0,0,1,1,0
Xeon Gold 6152 ,4108.95,FCLGA3647 ,2.1,3.7,44,22,140,22291,2155,0,0,1,0,1
Core i9-10910 ,,FCLGA1200 ,3.6,5.0,20,10,125,22289,3101,1,0,0,0,1
Ryzen 5 5600X,299.0,AM4 ,3.7,4.6,12,6,65,22271,3394,1,0,0,1,0
Xeon W-1290 ,494.0,FCLGA1200 ,3.2,5.2,20,10,80,22248,3169,0,0,1,0,1
Xeon Gold 5218 ,1319.95,FCLGA3647 ,2.3,3.9,32,16,125,22117,2245,0,0,1,0,1
Xeon E5-2698 v4 ,3629.59,FCLGA2011-3 ,2.2,3.6,40,20,135,22091,2066,0,0,1,0,1
Core i9-9900X ,589.99,FCLGA2066 ,3.5,4.5,20,10,165,21961,2594,1,0,0,0,1
Ryzen 7 PRO 3700,279.99,AM4 ,3.6,4.4,16,8,65,21934,2631,1,0,0,1,0
Xeon Gold 6136 ,2654.82,FCLGA3647 ,3.0,3.7,24,12,150,21835,2191,0,0,1,0,1
Xeon Gold 6130T ,1988.0,FCLGA3647 ,2.1,3.7,32,16,125,21803,1698,0,0,1,0,1
Core i9-7900X ,1798.95,FCLGA2066 ,3.3,4.5,20,10,140,21436,2600,1,0,0,0,1
Core i9-10900 ,519.0,FCLGA1200 ,2.8,5.2,20,10,65,21353,3113,1,0,0,0,1
EPYC 7281,769.98,SP3 ,2.1,2.7,32,16,155,21230,1613,0,0,1,1,0
Ryzen 7 PRO 4750G,289.0,AM4 ,3.6,4.4,16,8,65,21221,2756,1,0,0,1,0
